"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20110430_20110514.csv"
"C","Report for: 04/30/2011 - 05/14/2011"
"C","Report generated: 03/13/2016 17:22:30 EDT"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","04/30/2011","01",9944.0
"D","04/30/2011","02",9586.0
"D","04/30/2011","03",9367.0
"D","04/30/2011","04",9254.0
"D","04/30/2011","05",9364.0
"D","04/30/2011","06",9675.0
"D","04/30/2011","07",9770.0
"D","04/30/2011","08",10513.0
"D","04/30/2011","09",11389.0
"D","04/30/2011","10",12345.0
"D","04/30/2011","11",12515.0
"D","04/30/2011","12",12526.0
"D","04/30/2011","13",12329.0
"D","04/30/2011","14",11865.0
"D","04/30/2011","15",11586.0
"D","04/30/2011","16",11512.0
"D","04/30/2011","17",11646.0
"D","04/30/2011","18",11752.0
"D","04/30/2011","19",11593.0
"D","04/30/2011","20",12345.0
"D","04/30/2011","21",12755.0
"D","04/30/2011","22",11882.0
"D","04/30/2011","23",11002.0
"D","04/30/2011","24",10105.0
"D","05/01/2011","01",9731.0
"D","05/01/2011","02",9280.0
"D","05/01/2011","03",9067.0
"D","05/01/2011","04",8928.0
"D","05/01/2011","05",8865.0
"D","05/01/2011","06",9071.0
"D","05/01/2011","07",9479.0
"D","05/01/2011","08",9964.0
"D","05/01/2011","09",10796.0
"D","05/01/2011","10",11774.0
"D","05/01/2011","11",12151.0
"D","05/01/2011","12",12203.0
"D","05/01/2011","13",12059.0
"D","05/01/2011","14",11886.0
"D","05/01/2011","15",11593.0
"D","05/01/2011","16",11513.0
"D","05/01/2011","17",11624.0
"D","05/01/2011","18",11817.0
"D","05/01/2011","19",11910.0
"D","05/01/2011","20",12503.0
"D","05/01/2011","21",12994.0
"D","05/01/2011","22",12148.0
"D","05/01/2011","23",11044.0
"D","05/01/2011","24",9959.0
"D","05/02/2011","01",9266.0
"D","05/02/2011","02",9350.0
"D","05/02/2011","03",9142.0
"D","05/02/2011","04",9153.0
"D","05/02/2011","05",9402.0
"D","05/02/2011","06",9768.0
"D","05/02/2011","07",11710.0
"D","05/02/2011","08",13069.0
"D","05/02/2011","09",13336.0
"D","05/02/2011","10",13647.0
"D","05/02/2011","11",13975.0
"D","05/02/2011","12",14048.0
"D","05/02/2011","13",13799.0
"D","05/02/2011","14",13868.0
"D","05/02/2011","15",13631.0
"D","05/02/2011","16",13520.0
"D","05/02/2011","17",13511.0
"D","05/02/2011","18",13375.0
"D","05/02/2011","19",13312.0
"D","05/02/2011","20",13607.0
"D","05/02/2011","21",13957.0
"D","05/02/2011","22",13002.0
"D","05/02/2011","23",11622.0
"D","05/02/2011","24",10382.0
"D","05/03/2011","01",9777.0
"D","05/03/2011","02",9625.0
"D","05/03/2011","03",9594.0
"D","05/03/2011","04",9552.0
"D","05/03/2011","05",9556.0
"D","05/03/2011","06",10170.0
"D","05/03/2011","07",11683.0
"D","05/03/2011","08",13214.0
"D","05/03/2011","09",13780.0
"D","05/03/2011","10",13681.0
"D","05/03/2011","11",14008.0
"D","05/03/2011","12",14002.0
"D","05/03/2011","13",14174.0
"D","05/03/2011","14",14025.0
"D","05/03/2011","15",13691.0
"D","05/03/2011","16",13671.0
"D","05/03/2011","17",13671.0
"D","05/03/2011","18",13634.0
"D","05/03/2011","19",13772.0
"D","05/03/2011","20",14146.0
"D","05/03/2011","21",13856.0
"D","05/03/2011","22",13114.0
"D","05/03/2011","23",12074.0
"D","05/03/2011","24",10400.0
"D","05/04/2011","01",10674.0
"D","05/04/2011","02",10206.0
"D","05/04/2011","03",9854.0
"D","05/04/2011","04",9716.0
"D","05/04/2011","05",9820.0
"D","05/04/2011","06",10738.0
"D","05/04/2011","07",11895.0
"D","05/04/2011","08",13442.0
"D","05/04/2011","09",13743.0
"D","05/04/2011","10",14126.0
"D","05/04/2011","11",14367.0
"D","05/04/2011","12",14492.0
"D","05/04/2011","13",14506.0
"D","05/04/2011","14",14406.0
"D","05/04/2011","15",14115.0
"D","05/04/2011","16",14145.0
"D","05/04/2011","17",14146.0
"D","05/04/2011","18",14100.0
"D","05/04/2011","19",14040.0
