"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20110331_20110414.csv"
"C","Report for: 03/31/2011 - 04/14/2011"
"C","Report generated: 03/13/2016 17:21:42 EDT"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","03/31/2011","01",10751.0
"D","03/31/2011","02",10572.0
"D","03/31/2011","03",10394.0
"D","03/31/2011","04",10518.0
"D","03/31/2011","05",10565.0
"D","03/31/2011","06",11075.0
"D","03/31/2011","07",13508.0
"D","03/31/2011","08",14561.0
"D","03/31/2011","09",14859.0
"D","03/31/2011","10",14923.0
"D","03/31/2011","11",15061.0
"D","03/31/2011","12",14831.0
"D","03/31/2011","13",14762.0
"D","03/31/2011","14",14617.0
"D","03/31/2011","15",14346.0
"D","03/31/2011","16",14190.0
"D","03/31/2011","17",14293.0
"D","03/31/2011","18",14484.0
"D","03/31/2011","19",14877.0
"D","03/31/2011","20",15697.0
"D","03/31/2011","21",15251.0
"D","03/31/2011","22",13716.0
"D","03/31/2011","23",12569.0
"D","03/31/2011","24",11182.0
"D","04/01/2011","01",10581.0
"D","04/01/2011","02",10447.0
"D","04/01/2011","03",10178.0
"D","04/01/2011","04",10101.0
"D","04/01/2011","05",10401.0
"D","04/01/2011","06",11072.0
"D","04/01/2011","07",13134.0
"D","04/01/2011","08",14664.0
"D","04/01/2011","09",14959.0
"D","04/01/2011","10",15134.0
"D","04/01/2011","11",15169.0
"D","04/01/2011","12",15162.0
"D","04/01/2011","13",14989.0
"D","04/01/2011","14",14780.0
"D","04/01/2011","15",14482.0
"D","04/01/2011","16",14436.0
"D","04/01/2011","17",14360.0
"D","04/01/2011","18",14665.0
"D","04/01/2011","19",14850.0
"D","04/01/2011","20",15486.0
"D","04/01/2011","21",14768.0
"D","04/01/2011","22",13824.0
"D","04/01/2011","23",12892.0
"D","04/01/2011","24",11455.0
"D","04/02/2011","01",10652.0
"D","04/02/2011","02",10161.0
"D","04/02/2011","03",10075.0
"D","04/02/2011","04",9699.0
"D","04/02/2011","05",10059.0
"D","04/02/2011","06",10170.0
"D","04/02/2011","07",10835.0
"D","04/02/2011","08",11808.0
"D","04/02/2011","09",13077.0
"D","04/02/2011","10",13718.0
"D","04/02/2011","11",13802.0
"D","04/02/2011","12",13708.0
"D","04/02/2011","13",13195.0
"D","04/02/2011","14",12822.0
"D","04/02/2011","15",12440.0
"D","04/02/2011","16",12293.0
"D","04/02/2011","17",12445.0
"D","04/02/2011","18",12922.0
"D","04/02/2011","19",13296.0
"D","04/02/2011","20",14090.0
"D","04/02/2011","21",13844.0
"D","04/02/2011","22",13273.0
"D","04/02/2011","23",12024.0
"D","04/02/2011","24",11024.0
"D","04/03/2011","01",10439.0
"D","04/03/2011","02",10260.0
"D","04/03/2011","03",9889.0
"D","04/03/2011","04",9684.0
"D","04/03/2011","05",9724.0
"D","04/03/2011","06",9962.0
"D","04/03/2011","07",10386.0
"D","04/03/2011","08",10843.0
"D","04/03/2011","09",11892.0
"D","04/03/2011","10",12573.0
"D","04/03/2011","11",12942.0
"D","04/03/2011","12",12991.0
"D","04/03/2011","13",12841.0
"D","04/03/2011","14",12347.0
"D","04/03/2011","15",12077.0
"D","04/03/2011","16",11968.0
"D","04/03/2011","17",12167.0
"D","04/03/2011","18",12496.0
"D","04/03/2011","19",13046.0
"D","04/03/2011","20",14212.0
"D","04/03/2011","21",13728.0
"D","04/03/2011","22",12942.0
"D","04/03/2011","23",11910.0
"D","04/03/2011","24",10945.0
"D","04/04/2011","01",10449.0
"D","04/04/2011","02",10379.0
"D","04/04/2011","03",10182.0
"D","04/04/2011","04",10060.0
"D","04/04/2011","05",10380.0
"D","04/04/2011","06",11014.0
"D","04/04/2011","07",12891.0
"D","04/04/2011","08",14378.0
"D","04/04/2011","09",14788.0
"D","04/04/2011","10",14952.0
"D","04/04/2011","11",14838.0
"D","04/04/2011","12",14908.0
"D","04/04/2011","13",14796.0
"D","04/04/2011","14",14705.0
"D","04/04/2011","15",14386.0
"D","04/04/2011","16",14334.0
"D","04/04/2011","17",14277.0
"D","04/04/2011","18",14677.0
"D","04/04/2011","19",14666.0
"D","04/04/2011","20",15237.0
"D","04/04/2011","21",14968.0
"D","04/04/2011","22",13585.0
"D","04/04/2011","23",12447.0
"D","04/04/2011","24",11231.0
"D","04/05/2011","01",10647.0
"D","04/05/2011","02",10399.0
"D","04/05/2011","03",10111.0
"D","04/05/2011","04",10026.0
"D","04/05/2011","05",10099.0
"D","04/05/2011","06",10816.0
"D","04/05/2011","07",12872.0
