"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20101124_20101208.csv"
"C","Report for: 11/24/2010 - 12/08/2010"
"C","Report generated: 03/13/2016 17:17:36 EDT"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","11/24/2010","01",10463.0
"D","11/24/2010","02",10254.0
"D","11/24/2010","03",10615.0
"D","11/24/2010","04",10620.0
"D","11/24/2010","05",10567.0
"D","11/24/2010","06",10894.0
"D","11/24/2010","07",13172.0
"D","11/24/2010","08",14118.0
"D","11/24/2010","09",14229.0
"D","11/24/2010","10",14381.0
"D","11/24/2010","11",14584.0
"D","11/24/2010","12",14700.0
"D","11/24/2010","13",14310.0
"D","11/24/2010","14",13947.0
"D","11/24/2010","15",13716.0
"D","11/24/2010","16",13963.0
"D","11/24/2010","17",15411.0
"D","11/24/2010","18",16101.0
"D","11/24/2010","19",15604.0
"D","11/24/2010","20",15322.0
"D","11/24/2010","21",14703.0
"D","11/24/2010","22",13969.0
"D","11/24/2010","23",12794.0
"D","11/24/2010","24",11481.0
"D","11/25/2010","01",10470.0
"D","11/25/2010","02",10728.0
"D","11/25/2010","03",10443.0
"D","11/25/2010","04",10395.0
"D","11/25/2010","05",10371.0
"D","11/25/2010","06",10272.0
"D","11/25/2010","07",11101.0
"D","11/25/2010","08",12068.0
"D","11/25/2010","09",12994.0
"D","11/25/2010","10",13763.0
"D","11/25/2010","11",14017.0
"D","11/25/2010","12",14000.0
"D","11/25/2010","13",13463.0
"D","11/25/2010","14",12735.0
"D","11/25/2010","15",12091.0
"D","11/25/2010","16",12130.0
"D","11/25/2010","17",13119.0
"D","11/25/2010","18",13792.0
"D","11/25/2010","19",13882.0
"D","11/25/2010","20",13573.0
"D","11/25/2010","21",13205.0
"D","11/25/2010","22",12514.0
"D","11/25/2010","23",11581.0
"D","11/25/2010","24",10587.0
"D","11/26/2010","01",10734.0
"D","11/26/2010","02",10639.0
"D","11/26/2010","03",10469.0
"D","11/26/2010","04",10267.0
"D","11/26/2010","05",10481.0
"D","11/26/2010","06",10749.0
"D","11/26/2010","07",11506.0
"D","11/26/2010","08",12224.0
"D","11/26/2010","09",13041.0
"D","11/26/2010","10",13497.0
"D","11/26/2010","11",13787.0
"D","11/26/2010","12",13829.0
"D","11/26/2010","13",13620.0
"D","11/26/2010","14",13394.0
"D","11/26/2010","15",13166.0
"D","11/26/2010","16",13431.0
"D","11/26/2010","17",14488.0
"D","11/26/2010","18",15223.0
"D","11/26/2010","19",14868.0
"D","11/26/2010","20",14412.0
"D","11/26/2010","21",14055.0
"D","11/26/2010","22",13148.0
"D","11/26/2010","23",12401.0
"D","11/26/2010","24",11269.0
"D","11/27/2010","01",10597.0
"D","11/27/2010","02",10663.0
"D","11/27/2010","03",10553.0
"D","11/27/2010","04",10436.0
"D","11/27/2010","05",10451.0
"D","11/27/2010","06",10435.0
"D","11/27/2010","07",11226.0
"D","11/27/2010","08",12001.0
"D","11/27/2010","09",12788.0
"D","11/27/2010","10",13550.0
"D","11/27/2010","11",13456.0
"D","11/27/2010","12",13358.0
"D","11/27/2010","13",13107.0
"D","11/27/2010","14",12862.0
"D","11/27/2010","15",12586.0
"D","11/27/2010","16",12774.0
"D","11/27/2010","17",14101.0
"D","11/27/2010","18",14725.0
"D","11/27/2010","19",14501.0
"D","11/27/2010","20",14003.0
"D","11/27/2010","21",13670.0
"D","11/27/2010","22",13114.0
"D","11/27/2010","23",12258.0
"D","11/27/2010","24",11210.0
"D","11/28/2010","01",10626.0
"D","11/28/2010","02",10624.0
