Price,Quantity
95.0,5.0
96.85,5.0
96.92,25.0
96.93,5.0
101.0,99.0
107.48,4.0
116.28,2.0
120.0,16.0
120.0,1.0
120.0,5.4
120.0,3.4
120.0,6.7
120.0,18.0
120.0,2.0
120.0,32.0
120.0,20.0
122.0,50.0
124.0,100.0
125.0,50.0
125.1,2.0
126.0,100.0
128.0,50.0
129.5,1.0
130.0,79.0
150.0,5.7
150.0,130.0
151.0,70.0
152.0,70.0
154.68,10.0
158.5,15.0
164.53,200.0
165.0,36.0
166.83,60.0
170.0,37.0
171.47,30.0
174.27,90.0
179.68,32.6
180.0,3.0
180.0,3.0
182.44,75.0
183.19,100.0
188.11,50.0
189.78,40.0
189.87,75.0
191.54,50.0
194.97,50.0
195.54,70.0
195.67,40.0
196.07,50.0
198.32,45.0
198.4,50.0
199.0,33.0
200.0,7.0
200.0,4.0
200.0,32.8
200.0,5.0
200.0,3.0
200.0,1.2
200.0,96.0
200.0,51.0
200.0,5.0
200.0,19.5
200.0,33.5
200.0,27.3
200.0,16.0
200.98,45.0
201.0,40.0
201.02,50.0
201.84,50.0
201.84,25.0
203.88,170.0
204.28,40.0
205.27,50.0
205.98,50.0
206.08,40.0
207.37,26.0
208.36,40.0
209.67,20.0
210.0,7.2
210.48,21.8
210.84,10.0
210.84,10.0
210.93,50.0
211.42,40.0
211.73,20.0
212.05,100.0
213.6,5.0
214.0,16.0
215.0,160.0
215.0,90.0
215.0,100.0
215.0,50.0
215.0,4.0
215.15,20.0
215.4,125.0
217.19,50.0
217.29,1.0
217.36,10.6
217.62,85.0
218.27,25.0
219.23,20.0
219.45,20.0
219.49,15.0
219.49,15.0
220.0,8.0
220.0,16.0
220.82,76.0
222.4,20.0
223.08,30.0
223.2,10.0
224.37,65.0
224.43,20.0
225.8,5.0
227.31,50.0
227.5,27.0
227.8,5.0
228.0,22.0
228.13,10.0
228.13,10.0
229.8,5.0
231.62,40.0
231.8,5.0
232.6,50.0
232.7,150.0
232.76,44.0
233.07,25.0
233.8,6.0
234.16,21.0
235.05,10.0
235.05,10.0
235.43,44.0
237.89,50.0
238.27,100.0
240.0,16.0
241.38,20.8
241.62,9.0
241.62,9.0
241.86,25.0
243.55,116.0
243.75,10.0
247.15,75.0
248.52,154.0
250.0,3.0
250.0,2.5
250.0,5.0
250.0,5.0
250.0,3.0
251.62,125.0
253.64,110.0
253.76,50.0
254.21,75.0
256.49,10.0
256.49,10.0
257.14,10.0
257.66,100.0
259.48,58.0
260.14,85.3
260.76,10.0
261.45,107.0
261.47,119.0
262.7,3.0
269.54,13.8
273.46,68.1
273.63,3.0
275.0,8.3
276.95,5.0
276.95,5.0
278.67,49.2
278.67,49.2
278.67,49.2
278.67,49.2
280.0,50.0
280.0,13.0
280.37,6.0
281.25,6.0
