Date,Hour,Price
20100114,8,56.86
20100114,9,58.83
20100114,10,57.49
20100114,11,57.49
20100114,12,56.86
20100114,13,53.64
20100114,14,51.38
20100114,15,51.38
20100114,16,51.38
20100114,17,58.64
20100114,18,66.62
20100114,19,66.48
20100114,20,63.55
20100114,21,57.64
20100114,22,51.0
20100114,23,46.99
20100114,24,45.91
20100115,1,47.97
20100115,2,47.97
20100115,3,47.97
20100115,4,47.97
20100115,5,47.97
20100115,6,48.46
20100115,7,55.21
20100115,8,59.5
20100115,9,59.5
20100115,10,58.35
20100115,11,57.48
20100115,12,57.48
20100115,13,58.35
20100115,14,57.48
20100115,15,57.48
20100115,16,57.48
20100115,17,58.35
20100115,18,65.0
20100115,19,62.0
20100115,20,59.5
20100115,21,59.5
20100115,22,55.21
20100115,23,49.9
20100115,24,48.08
20100116,1,47.48
20100116,2,47.47
20100116,3,47.47
20100116,4,47.47
20100116,5,47.47
20100116,6,47.61
20100116,7,48.0
20100116,8,48.57
20100116,9,57.48
20100116,10,59.5
20100116,11,59.5
20100116,12,57.62
20100116,13,57.48
20100116,14,53.96
20100116,15,51.34
20100116,16,51.96
20100116,17,59.45
20100116,18,65.0
20100116,19,62.0
20100116,20,57.48
20100116,21,57.48
20100116,22,56.34
20100116,23,48.57
20100116,24,47.61
20100117,1,47.47
20100117,2,47.47
20100117,3,47.47
20100117,4,47.47
20100117,5,47.47
20100117,6,47.47
20100117,7,47.47
20100117,8,47.56
20100117,9,48.57
20100117,10,51.96
20100117,11,54.97
20100117,12,55.29
20100117,13,54.97
20100117,14,52.96
20100117,15,51.96
20100117,16,53.32
20100117,17,57.48
20100117,18,67.08
20100117,19,65.0
20100117,20,59.5
20100117,21,57.48
20100117,22,51.96
20100117,23,47.61
20100117,24,47.47
20100118,1,46.04
20100118,2,46.04
20100118,3,46.54
20100118,4,46.04
20100118,5,46.03
20100118,6,46.5
20100118,7,48.57
20100118,8,53.32
20100118,9,56.45
20100118,10,55.29
20100118,11,60.53
20100118,12,60.53
20100118,13,59.45
20100118,14,55.0
20100118,15,53.32
20100118,16,55.0
20100118,17,60.53
20100118,18,70.01
20100118,19,67.0
20100118,20,62.91
20100118,21,60.53
20100118,22,51.0
20100118,23,47.47
20100118,24,46.42
20100119,1,45.0
20100119,2,46.19
20100119,3,46.5
20100119,4,46.66
20100119,5,46.68
20100119,6,46.68
20100119,7,53.32
20100119,8,64.68
20100119,9,66.0
20100119,10,65.45
20100119,11,65.0
20100119,12,64.68
20100119,13,64.68
20100119,14,64.68
20100119,15,64.24
20100119,16,63.94
20100119,17,66.65
20100119,18,70.53
20100119,19,70.0
20100119,20,66.96
20100119,21,65.0
20100119,22,59.45
20100119,23,48.57
20100119,24,46.66
20100120,1,45.63
20100120,2,45.63
20100120,3,46.29
20100120,4,45.63
20100120,5,46.47
20100120,6,45.56
20100120,7,53.01
20100120,8,59.73
20100120,9,59.96
20100120,10,59.96
20100120,11,59.96
20100120,12,59.96
20100120,13,59.73
20100120,14,59.73
20100120,15,55.5
20100120,16,55.5
20100120,17,59.96
20100120,18,64.78
20100120,19,62.86
20100120,20,60.04
20100120,21,59.73
20100120,22,53.58
20100120,23,46.53
20100120,24,44.75
20100121,1,45.84
20100121,2,45.47
20100121,3,45.31
20100121,4,45.31
20100121,5,45.84
20100121,6,45.84
20100121,7,48.58
20100121,8,55.25
20100121,9,55.25
20100121,10,55.25
20100121,11,55.25
20100121,12,54.47
20100121,13,54.0
20100121,14,53.58
20100121,15,51.26
20100121,16,52.4
20100121,17,58.93
20100121,18,63.0
20100121,19,61.04
20100121,20,58.93
20100121,21,58.93
20100121,22,53.01
20100121,23,46.19
20100121,24,45.19
20100122,1,46.0
20100122,2,45.92
20100122,3,45.92
20100122,4,45.92
20100122,5,46.49
20100122,6,46.62
20100122,7,55.69
20100122,8,58.93
20100122,9,58.93
20100122,10,55.69
20100122,11,56.11
20100122,12,55.69
20100122,13,55.69
20100122,14,53.01
20100122,15,47.91
20100122,16,47.91
20100122,17,56.08
20100122,18,63.51
20100122,19,62.29
20100122,20,58.93
20100122,21,55.69
20100122,22,47.77
20100122,23,46.62
20100122,24,45.0
20100123,1,46.78
20100123,2,46.78
20100123,3,46.78
20100123,4,46.34
20100123,5,46.29
20100123,6,46.29
20100123,7,47.08
20100123,8,48.25
20100123,9,55.0
20100123,10,55.0
20100123,11,55.0
20100123,12,55.0
20100123,13,52.78
20100123,14,50.33
20100123,15,48.37
20100123,16,48.37
20100123,17,55.0
20100123,18,64.0
20100123,19,63.08
20100123,20,59.33
20100123,21,55.0
20100123,22,50.33
20100123,23,48.06
20100123,24,46.78
20100124,1,45.54
20100124,2,45.12
20100124,3,46.78
20100124,4,45.54
20100124,5,46.29
20100124,6,45.54
20100124,7,46.29
20100124,8,46.78
20100124,9,48.06
20100124,10,50.33
20100124,11,52.81
20100124,12,50.33
20100124,13,50.33
20100124,14,49.03
20100124,15,48.52
20100124,16,50.25
20100124,17,59.33
20100124,18,62.74
20100124,19,61.0
20100124,20,59.33
20100124,21,55.0
20100124,22,48.06
20100124,23,46.29
20100124,24,45.05
20100125,1,43.52
20100125,2,43.52
20100125,3,43.52
20100125,4,43.52
20100125,5,43.52
20100125,6,44.98
20100125,7,50.33
20100125,8,55.0
20100125,9,56.84
20100125,10,55.0
20100125,11,58.0
20100125,12,55.0
20100125,13,55.0
20100125,14,55.0
20100125,15,55.0
20100125,16,55.0
20100125,17,58.0
20100125,18,64.0
20100125,19,63.64
20100125,20,61.0
20100125,21,55.0
20100125,22,49.34
20100125,23,46.29
20100125,24,43.52
20100126,1,44.37
20100126,2,45.0
20100126,3,44.95
20100126,4,44.86
20100126,5,45.22
20100126,6,47.23
20100126,7,49.03
20100126,8,55.88
20100126,9,56.97
20100126,10,56.97
20100126,11,56.97
20100126,12,55.88
20100126,13,55.0
20100126,14,55.0
20100126,15,55.0
20100126,16,55.0
20100126,17,59.89
20100126,18,63.2
20100126,19,62.69
20100126,20,60.13
20100126,21,58.0
20100126,22,52.23
20100126,23,47.23
20100126,24,44.37
20100127,1,44.8
20100127,2,44.64
20100127,3,44.64
20100127,4,44.4
20100127,5,44.95
20100127,6,45.81
20100127,7,48.92
20100127,8,51.17
20100127,9,53.0
20100127,10,53.72
20100127,11,52.18
20100127,12,50.74
20100127,13,49.46
20100127,14,48.92
20100127,15,48.92
20100127,16,48.92
20100127,17,55.0
20100127,18,65.92
20100127,19,65.01
20100127,20,61.54
20100127,21,55.0
20100127,22,48.0
20100127,23,46.16
20100127,24,45.08
20100128,1,42.01
20100128,2,42.36
20100128,3,42.47
20100128,4,43.0
20100128,5,44.0
20100128,6,44.0
20100128,7,48.94
20100128,8,49.0
20100128,9,48.99
20100128,10,48.99
20100128,11,48.94
20100128,12,48.94
20100128,13,48.94
20100128,14,47.7
20100128,15,47.16
20100128,16,47.16
20100128,17,51.44
20100128,18,65.0
20100128,19,61.11
20100128,20,55.01
20100128,21,51.44
20100128,22,48.94
20100128,23,45.76
20100128,24,44.94
20100129,1,55.42
20100129,2,54.13
20100129,3,55.6
20100129,4,55.42
20100129,5,55.6
20100129,6,55.84
20100129,7,65.93
20100129,8,69.67
20100129,9,69.67
20100129,10,69.67
20100129,11,69.67
20100129,12,69.67
20100129,13,68.86
20100129,14,65.14
20100129,15,64.08
20100129,16,65.14
20100129,17,69.67
20100129,18,76.0
20100129,19,74.66
20100129,20,72.36
20100129,21,69.67
20100129,22,64.08
20100129,23,57.68
20100129,24,56.44
20100130,1,59.0
20100130,2,59.13
20100130,3,59.48
20100130,4,60.0
20100130,5,60.0
20100130,6,59.13
20100130,7,60.0
20100130,8,68.1
20100130,9,73.21
20100130,10,74.0
20100130,11,74.0
20100130,12,73.0
20100130,13,70.19
20100130,14,68.1
20100130,15,62.37
20100130,16,68.1
20100130,17,74.08
20100130,18,87.0
20100130,19,87.0
20100130,20,79.0
20100130,21,75.24
20100130,22,68.86
20100130,23,60.0
20100130,24,59.0
20100131,1,57.0
20100131,2,57.0
20100131,3,57.94
20100131,4,58.34
20100131,5,57.94
20100131,6,57.0
20100131,7,57.59
20100131,8,59.13
20100131,9,60.5
20100131,10,68.1
20100131,11,68.1
20100131,12,66.0
20100131,13,62.0
20100131,14,60.0
20100131,15,60.0
20100131,16,60.01
20100131,17,69.91
20100131,18,81.0
20100131,19,81.0
20100131,20,78.0
20100131,21,71.6
20100131,22,60.5
20100131,23,58.02
20100131,24,56.44
20100201,1,57.86
20100201,2,57.05
20100201,3,57.86
20100201,4,57.86
20100201,5,57.34
20100201,6,57.0
20100201,7,61.16
20100201,8,70.58
20100201,9,70.65
20100201,10,75.0
20100201,11,75.0
20100201,12,73.22
20100201,13,69.8
20100201,14,65.47
20100201,15,60.66
20100201,16,61.0
20100201,17,70.58
20100201,18,85.0
20100201,19,83.0
20100201,20,81.15
20100201,21,75.0
20100201,22,60.18
20100201,23,57.94
20100201,24,55.6
20100202,1,44.26
20100202,2,44.26
20100202,3,44.26
20100202,4,44.26
20100202,5,44.26
20100202,6,44.4
20100202,7,50.0
20100202,8,53.0
20100202,9,55.94
20100202,10,55.94
20100202,11,53.0
20100202,12,53.0
20100202,13,52.2
20100202,14,50.72
20100202,15,50.72
20100202,16,50.72
20100202,17,54.53
20100202,18,62.0
20100202,19,61.89
20100202,20,61.89
20100202,21,52.39
20100202,22,48.2
20100202,23,46.0
20100202,24,44.26
20100203,1,45.11
20100203,2,45.0
20100203,3,45.0
20100203,4,45.0
20100203,5,45.11
20100203,6,45.46
20100203,7,48.74
20100203,8,51.42
20100203,9,53.01
20100203,10,53.01
20100203,11,53.01
20100203,12,53.01
20100203,13,51.42
20100203,14,51.0
20100203,15,50.29
20100203,16,50.29
20100203,17,57.0
20100203,18,61.03
20100203,19,61.03
20100203,20,60.37
20100203,21,57.0
20100203,22,48.74
20100203,23,46.83
20100203,24,45.12
20100204,1,47.0
20100204,2,47.56
20100204,3,47.3
20100204,4,47.0
20100204,5,48.0
20100204,6,48.0
20100204,7,51.86
20100204,8,53.52
20100204,9,57.0
20100204,10,57.0
20100204,11,57.0
20100204,12,55.26
20100204,13,53.52
20100204,14,53.52
20100204,15,53.11
20100204,16,53.01
20100204,17,57.0
20100204,18,66.3
20100204,19,66.0
20100204,20,63.0
20100204,21,58.75
20100204,22,53.01
20100204,23,49.03
20100204,24,48.01
20100205,1,52.0
20100205,2,52.0
20100205,3,52.0
20100205,4,52.0
20100205,5,52.07
20100205,6,52.61
20100205,7,57.03
20100205,8,58.0
20100205,9,60.8
20100205,10,67.0
20100205,11,64.6
20100205,12,61.92
20100205,13,57.03
20100205,14,56.51
20100205,15,55.09
20100205,16,55.09
20100205,17,60.8
20100205,18,73.21
20100205,19,71.71
20100205,20,64.94
20100205,21,58.52
20100205,22,54.85
20100205,23,53.01
20100205,24,51.62
20100206,1,59.43
20100206,2,61.06
20100206,3,60.68
20100206,4,59.89
20100206,5,60.68
20100206,6,62.48
20100206,7,62.48
20100206,8,63.11
20100206,9,71.0
20100206,10,72.0
20100206,11,71.0
20100206,12,70.0
20100206,13,68.84
20100206,14,65.84
20100206,15,64.77
20100206,16,64.61
20100206,17,70.0
20100206,18,83.0
20100206,19,83.0
20100206,20,77.6
20100206,21,72.0
20100206,22,65.84
20100206,23,62.87
20100206,24,59.43
20100207,1,59.43
20100207,2,59.44
20100207,3,59.74
20100207,4,59.89
20100207,5,59.89
20100207,6,59.43
20100207,7,60.95
20100207,8,62.48
20100207,9,65.06
20100207,10,70.64
20100207,11,71.0
20100207,12,70.84
20100207,13,70.0
20100207,14,69.9
20100207,15,65.84
20100207,16,68.61
20100207,17,72.0
20100207,18,86.0
20100207,19,85.0
20100207,20,81.2
20100207,21,77.62
20100207,22,70.84
20100207,23,62.87
20100207,24,61.08
20100208,1,57.36
20100208,2,58.6
20100208,3,58.5
20100208,4,58.6
20100208,5,58.5
20100208,6,59.57
20100208,7,63.61
20100208,8,75.0
20100208,9,75.0
20100208,10,75.01
20100208,11,75.02
20100208,12,75.0
20100208,13,72.02
20100208,14,70.0
20100208,15,65.79
20100208,16,65.79
20100208,17,75.0
20100208,18,87.0
20100208,19,86.0
20100208,20,84.0
20100208,21,75.01
20100208,22,65.79
20100208,23,62.48
20100208,24,58.5
20100209,1,54.44
20100209,2,54.0
20100209,3,54.44
20100209,4,54.44
20100209,5,54.9
20100209,6,54.94
20100209,7,58.68
20100209,8,59.0
20100209,9,59.01
20100209,10,59.02
20100209,11,59.01
20100209,12,59.0
20100209,13,58.68
20100209,14,58.44
20100209,15,58.44
20100209,16,58.44
20100209,17,59.0
20100209,18,72.8
20100209,19,73.07
20100209,20,67.26
20100209,21,61.74
20100209,22,58.44
20100209,23,54.94
20100209,24,54.44
20100210,1,51.0
20100210,2,50.84
20100210,3,50.95
20100210,4,51.79
20100210,5,51.0
20100210,6,51.9
20100210,7,56.6
20100210,8,62.58
20100210,9,62.58
20100210,10,62.58
20100210,11,62.58
20100210,12,60.0
20100210,13,60.0
20100210,14,59.42
20100210,15,58.79
20100210,16,59.42
20100210,17,62.79
20100210,18,71.29
20100210,19,69.91
20100210,20,67.44
20100210,21,63.27
20100210,22,56.41
20100210,23,52.23
20100210,24,51.0
20100211,1,51.04
20100211,2,50.12
20100211,3,51.04
20100211,4,51.04
20100211,5,51.04
20100211,6,51.09
20100211,7,55.26
20100211,8,58.76
20100211,9,60.43
20100211,10,62.47
20100211,11,60.23
20100211,12,59.59
20100211,13,58.76
20100211,14,58.33
20100211,15,58.33
20100211,16,58.33
20100211,17,60.23
20100211,18,68.97
20100211,19,68.02
20100211,20,67.44
20100211,21,64.43
20100211,22,55.9
20100211,23,52.38
20100211,24,51.04
20100212,1,48.77
20100212,2,48.77
20100212,3,48.77
20100212,4,48.77
20100212,5,48.77
20100212,6,49.57
20100212,7,56.36
20100212,8,62.0
20100212,9,62.36
20100212,10,62.36
20100212,11,60.43
20100212,12,61.0
20100212,13,60.0
20100212,14,57.6
20100212,15,57.6
20100212,16,56.0
20100212,17,60.0
20100212,18,65.0
20100212,19,65.36
20100212,20,64.01
20100212,21,61.0
20100212,22,55.95
20100212,23,53.08
20100212,24,48.77
20100213,1,46.14
20100213,2,46.23
20100213,3,46.14
20100213,4,45.0
20100213,5,46.23
20100213,6,46.44
20100213,7,47.98
20100213,8,56.1
20100213,9,60.63
20100213,10,60.63
20100213,11,59.1
20100213,12,59.0
20100213,13,57.39
20100213,14,57.0
20100213,15,56.53
20100213,16,57.0
20100213,17,59.0
20100213,18,62.64
20100213,19,62.84
20100213,20,62.58
20100213,21,59.0
20100213,22,57.0
20100213,23,50.01
20100213,24,46.99
20100214,1,48.25
20100214,2,48.0
20100214,3,50.01
20100214,4,50.0
20100214,5,50.0
20100214,6,50.0
20100214,7,50.01
20100214,8,50.78
20100214,9,54.62
20100214,10,57.0
20100214,11,58.1
20100214,12,57.0
20100214,13,57.0
20100214,14,57.0
20100214,15,57.0
20100214,16,57.0
20100214,17,61.34
20100214,18,63.27
20100214,19,63.27
20100214,20,62.84
20100214,21,61.64
20100214,22,57.0
20100214,23,51.46
20100214,24,48.0
20100215,1,50.0
20100215,2,50.0
20100215,3,50.0
20100215,4,50.0
20100215,5,50.0
20100215,6,50.02
20100215,7,53.0
20100215,8,56.53
20100215,9,60.0
20100215,10,60.0
20100215,11,60.0
20100215,12,60.75
20100215,13,60.0
20100215,14,56.53
20100215,15,57.0
20100215,16,54.0
20100215,17,60.0
20100215,18,68.6
20100215,19,67.82
20100215,20,66.0
20100215,21,63.13
20100215,22,57.0
20100215,23,50.0
20100215,24,47.89
20100216,1,48.0
20100216,2,47.98
20100216,3,48.0
20100216,4,48.0
20100216,5,48.0
20100216,6,50.0
20100216,7,53.5
20100216,8,59.0
20100216,9,62.85
20100216,10,62.85
20100216,11,64.24
20100216,12,62.85
20100216,13,59.0
20100216,14,58.3
20100216,15,56.0
20100216,16,56.53
20100216,17,62.85
20100216,18,72.0
20100216,19,71.9
20100216,20,70.65
20100216,21,64.24
20100216,22,54.25
20100216,23,50.02
20100216,24,48.0
20100217,1,44.21
20100217,2,44.31
20100217,3,44.31
20100217,4,44.31
20100217,5,44.31
20100217,6,44.31
20100217,7,50.22
20100217,8,53.0
20100217,9,55.0
20100217,10,55.0
20100217,11,55.0
20100217,12,55.0
20100217,13,51.57
20100217,14,50.89
20100217,15,50.19
20100217,16,50.19
20100217,17,51.57
20100217,18,65.47
20100217,19,65.09
20100217,20,64.47
20100217,21,56.22
20100217,22,50.01
20100217,23,47.22
20100217,24,44.49
20100218,1,42.39
20100218,2,42.39
20100218,3,42.0
20100218,4,42.0
20100218,5,42.39
20100218,6,43.27
20100218,7,48.0
20100218,8,50.19
20100218,9,51.0
20100218,10,51.0
20100218,11,51.0
20100218,12,51.0
20100218,13,50.32
20100218,14,49.35
20100218,15,48.01
20100218,16,48.01
20100218,17,50.32
20100218,18,59.6
20100218,19,58.4
20100218,20,58.4
20100218,21,52.38
20100218,22,48.0
20100218,23,42.97
20100218,24,42.39
20100219,1,41.09
20100219,2,41.09
20100219,3,41.09
20100219,4,41.09
20100219,5,41.09
20100219,6,41.59
20100219,7,46.01
20100219,8,50.83
20100219,9,50.89
20100219,10,50.89
20100219,11,50.89
20100219,12,50.32
20100219,13,50.18
20100219,14,49.34
20100219,15,47.28
20100219,16,46.01
20100219,17,49.34
