DATE,da_demd_avg,da_lmp_avg,da_ec_avg,meritPrice_avg,da_cc_avg,da_mlc_avg,rt_ec_avg,drybulb_avg,COAL,GAS,HYDRO,NUCLEAR,OIL,REFUSE,SOLAR,WIND,total,coal_p,gas_p,hydro_p,nuclear_p,oil_p,refuse_p,solar_p,wind_p
1/1/10,13625.75,58.350,58.5175,63.31041667,-0.231666667,0.06375,59.90041667,29.70833333,54129.704,120127.15,27192.579,82531.505,0.386,21528.719,0.378,521.424,306031.845,0.17687605,0.392531535,0.08885539,0.269682735,1.26131E-06,0.07034797,1.23517E-06,0.001703823
1/2/10,13884.29167,60.343,60.78041667,64.47333333,-0.438333333,0.000416667,71.165,26,49234.337,132483.824,29431.474,82512.376,0.416,20313.586,0.015,1243.433,315219.461,0.156190664,0.420290751,0.093368201,0.261761681,1.31972E-06,0.064442677,4.75859E-08,0.003944658
1/3/10,14089.08333,67.160,67.16666667,64.95083333,-0.016666667,0.01,133.4233333,18.70833333,54587.73,152873.983,30388.983,82161.154,1722.61,20057.661,0.256,1043.732,342836.109,0.159223981,0.445909806,0.088639972,0.239651401,0.005024587,0.0585051,7.46712E-07,0.003044405
1/4/10,15975.70833,85.569,85.27166667,77.36666667,0.262916667,0.034583333,109.6320833,25.04166667,48949.665,173285.238,28464.371,82517.04,828.492,20285.675,1.309,1013.942,355345.732,0.137752224,0.48765251,0.080103315,0.232216212,0.00233151,0.05708715,3.68374E-06,0.002853396
1/5/10,15598.625,94.574,94.88833333,87.82666667,-0.405,0.090833333,86.57875,24.91666667,54437.23,179119.904,25165.851,82510.798,1340.21,19701.267,0.432,424.977,362700.669,0.150088584,0.493850492,0.069384628,0.227490063,0.003695086,0.054318254,1.19106E-06,0.001171702
1/6/10,15561.375,86.645,86.13666667,88.63708333,0.35625,0.1525,62.1225,25.20833333,56379.451,166917.212,24983.897,89339.576,39.662,19489.897,1.986,857.481,358009.162,0.15748047,0.466237264,0.069785636,0.249545502,0.000110785,0.05443966,5.54734E-06,0.002395137
1/7/10,15367.75,72.185,72.58708333,82.43125,-0.572916667,0.170833333,57.48,28.95833333,53949.126,152627.879,25671.517,107151.166,114.187,18820.055,2.003,1276.462,359612.395,0.150020207,0.424423299,0.07138663,0.297962939,0.000317528,0.052334278,5.56989E-06,0.00354955
1/8/10,15703.29167,68.005,67.82833333,82.69708333,-0.012083333,0.18875,63.91708333,23.45833333,57982.555,157392.804,22793.037,112044.281,2.266,20165.283,0.369,723.21,371103.805,0.156243494,0.424120696,0.061419572,0.301921671,6.10611E-06,0.054338659,9.94331E-07,0.001948808
1/9/10,14989.95833,74.388,74.11083333,84.85375,-0.003333333,0.28,72.25833333,19.04166667,56704.73,135331.388,25112.563,112027.091,125.48,20000.369,2.246,1560.057,350863.924,0.161614592,0.385709042,0.071573511,0.319289284,0.000357632,0.057003207,6.40134E-06,0.004446331
1/10/10,15092.58333,75.988,76.26791667,86.03125,-0.57375,0.293333333,73.82375,15.41666667,58852.153,138791.232,22578.199,112165.514,16.256,19864.506,2.401,988.876,353259.137,0.166597681,0.392887876,0.063913984,0.317516243,4.60172E-05,0.056232108,6.79671E-06,0.002799293
1/11/10,15616.33333,81.463,81.2325,86.28041667,0.020833333,0.21,82.40125,23.45833333,58688.881,166356.977,27447.551,108743.822,5.088,18950.934,1.78,985.295,381180.328,0.153966185,0.436425924,0.072006735,0.285281831,1.3348E-05,0.049716453,4.66971E-06,0.002584853
1/12/10,15858.5,62.643,63.02166667,71.84958333,-0.485,0.10625,56.79083333,24.5,57023.772,170100.157,22995.013,111513.409,61.517,18958.612,1.222,1464.886,382118.588,0.149230563,0.445150177,0.060177688,0.291829323,0.000160989,0.049614472,3.19796E-06,0.00383359
1/13/10,15923.20833,56.048,56.18125,59.42583333,-0.1925,0.059583333,54.625,19.79166667,59064.945,180942.562,24305.318,112111.815,17.35,17286.105,1.95,1266.594,394996.639,0.149532779,0.458086333,0.061532974,0.283829795,4.39244E-05,0.043762664,4.93675E-06,0.003206594
1/14/10,15210.83333,49.775,50.19958333,53.40291667,-0.439583333,0.015416667,53.33125,27.83333333,59464.13,159106.026,25024.836,111628.08,64.396,17564.486,2.05,635.334,373489.338,0.15921239,0.425998843,0.067002812,0.298878893,0.000172417,0.047028079,5.48878E-06,0.001701077
1/15/10,13944.16667,52.113,52.12958333,55.17333333,-0.015416667,-0.00125,74.90083333,35.5,58140.507,127779.345,26305.03,112264.442,4267.215,17362.792,0.698,1156.22,347276.249,0.16741861,0.367947262,0.0757467,0.323271293,0.012287667,0.049997062,2.00993E-06,0.003329396
1/16/10,13705.5,53.921,53.80125,53.51291667,0.112916667,0.006666667,46.98666667,36.79166667,53282.135,105102.376,22576.436,112287.622,0.388,18631.544,2.541,1359.245,313242.287,0.170098793,0.335530611,0.072073398,0.358468913,1.23866E-06,0.059479658,8.11193E-06,0.004339277
1/17/10,13468.16667,53.006,53.04125,52.39291667,-0.04875,0.013333333,52.63583333,33.20833333,51990.386,104360.607,25698.389,112275.864,0.325,19256.849,0.513,494.945,314077.878,0.165533422,0.33227621,0.08182171,0.357477785,1.03478E-06,0.061312338,1.63335E-06,0.001575867
1/18/10,14444.375,55.335,55.2175,54.18833333,0.092083333,0.025,52.65708333,33.04166667,55294.33,136455.092,26406.803,112215.521,0.342,19064.645,0.228,527.797,349964.758,0.157999709,0.389910952,0.075455606,0.320648061,9.77241E-07,0.0544759,6.51494E-07,0.001508143
1/19/10,14789.25,56.617,56.56791667,58.675,0.012083333,0.036666667,63.13041667,33.125,56266.437,131805.375,27342.793,112229.961,528.041,17529.132,0.094,76.016,345777.849,0.162724238,0.381185132,0.079076185,0.324572442,0.001527111,0.05069478,2.71851E-07,0.000219841
1/20/10,15086.83333,48.873,48.86333333,54.60333333,-0.019583333,0.029166667,49.52458333,32.58333333,56294.16,133739.082,26225.935,112234.467,115.435,18954.107,0.401,593.224,348156.811,0.161691968,0.384134613,0.075327939,0.322367575,0.00033156,0.054441293,1.15178E-06,0.001703899
1/21/10,14981.33333,50.370,50.33666667,52.255,-0.006666667,0.039583333,47.09708333,30.70833333,54705.413,139498.649,25970.836,112186.153,30.727,18839.465,2.225,1015.392,352248.86,0.155303307,0.396022996,0.073728659,0.318485496,8.72309E-05,0.053483395,6.31656E-06,0.002882598
1/22/10,15075.66667,48.644,48.58416667,52.43,0,0.059583333,45.53666667,28.375,54998.353,137407.083,24870.408,111860.114,0.342,19903.912,1.498,1032.273,350073.983,0.157104943,0.392508697,0.071043291,0.319532783,9.76936E-07,0.056856302,4.2791E-06,0.002948728
1/23/10,13863.45833,50.518,50.42541667,51.50083333,0.014166667,0.078333333,48.55166667,26.20833333,56505.111,96755.266,25930.319,112162.735,0.31,20085.091,2.571,1150.206,312591.609,0.180763365,0.309526114,0.082952703,0.358815566,9.91709E-07,0.064253455,8.22479E-06,0.003679581
1/24/10,13608.91667,46.805,46.70083333,50.18083333,0.007916667,0.096666667,54.8475,29.45833333,47280.974,99738.134,27058.779,112213.564,0.39,20495.243,0.851,590.902,307378.837,0.153819874,0.324479509,0.088030716,0.365066005,1.26879E-06,0.066677469,2.76857E-06,0.00192239
1/25/10,14108.70833,54.586,54.44208333,52.23083333,0.04375,0.100416667,59.35,46.875,41604.971,122545.674,29169.283,112205.909,3.589,19615.861,0.042,2168.998,327314.327,0.127110143,0.374397525,0.089117037,0.342807814,1.0965E-05,0.059929735,1.28317E-07,0.006626652
1/26/10,14382.66667,53.315,53.20375,52.96125,0.000833333,0.11,44.10041667,39.04166667,42372.574,122777.656,31624.486,112224.737,74.696,19123.957,1.556,1804.154,330003.816,0.128400255,0.372049201,0.095830668,0.340071028,0.000226349,0.057950715,4.7151E-06,0.00546707
1/27/10,14819.45833,48.422,48.4,50.70416667,-0.10125,0.123333333,43.06291667,33.25,41081.044,131792.841,29844.246,112210.204,47.258,18972.669,2.381,1214.919,335165.562,0.122569406,0.393217132,0.089043295,0.334790374,0.000140999,0.056606857,7.10395E-06,0.003624832
1/28/10,14587.04167,45.768,45.84166667,48.59333333,-0.218333333,0.144583333,46.36625,27.54166667,41664.825,148975.426,34092.515,112231.202,13.482,20641.152,0.541,703.172,358322.315,0.116277506,0.415758159,0.095144828,0.313212985,3.76253E-05,0.057604986,1.50981E-06,0.001962401
1/29/10,16128.16667,58.247,58.65583333,64.58625,-0.627083333,0.218333333,59.60708333,13.16666667,50500.451,169972.173,31943.06,112292.143,74.449,21478.951,2.783,2164.398,388428.408,0.130012249,0.437589449,0.082236673,0.289093539,0.000191667,0.055297065,7.16477E-06,0.005572193
1/30/10,15910.625,62.335,62.06875,68.24958333,0.000416667,0.26625,62.06375,11.08333333,53932.906,151926.953,28486.204,112147.881,19.67,21812.973,1.965,1955.808,370284.36,0.145652671,0.410298056,0.076930616,0.302869614,5.31213E-05,0.058908707,5.30673E-06,0.005281908
1/31/10,15003.125,61.245,60.63375,63.46333333,0.326666667,0.284583333,57.64,18,53391.996,136373.537,29865.172,112188.123,71.692,22169.514,3.036,1842.933,355906.003,0.150017127,0.383172905,0.083913089,0.315218406,0.000201435,0.062290363,8.53034E-06,0.005178145
2/1/10,15705.08333,57.690,57.74625,66.49833333,-0.3075,0.251666667,48.58125,24.79166667,49309.406,149419.448,27206.415,112206.54,5649.704,20676.175,2.726,2455.553,366925.967,0.134385163,0.407219607,0.074146878,0.305801579,0.015397395,0.056349719,7.42929E-06,0.00669223
2/2/10,14813.54167,51.508,51.2775,50.92083333,0.009166667,0.220833333,59.44583333,23.83333333,46114.746,155306.603,31910.762,112252.06,377.246,19647.582,1.182,1050.397,366660.578,0.125769578,0.423570496,0.087030796,0.306147066,0.00102887,0.053585204,3.22369E-06,0.002864767
