"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20120331_20120414.csv"
"C","Report for: 03/31/2012 - 04/14/2012"
"C","Report generated: 03/14/2016 08:57:46 EDT"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","03/31/2012","01",10636.0
"D","03/31/2012","02",10266.0
"D","03/31/2012","03",10028.0
"D","03/31/2012","04",9948.0
"D","03/31/2012","05",10049.0
"D","03/31/2012","06",10238.0
"D","03/31/2012","07",10770.0
"D","03/31/2012","08",11599.0
"D","03/31/2012","09",12440.0
"D","03/31/2012","10",12840.0
"D","03/31/2012","11",12991.0
"D","03/31/2012","12",12917.0
"D","03/31/2012","13",12797.0
"D","03/31/2012","14",12418.0
"D","03/31/2012","15",12273.0
"D","03/31/2012","16",12136.0
"D","03/31/2012","17",12156.0
"D","03/31/2012","18",12361.0
"D","03/31/2012","19",12590.0
"D","03/31/2012","20",13416.0
"D","03/31/2012","21",12969.0
"D","03/31/2012","22",12331.0
"D","03/31/2012","23",11525.0
"D","03/31/2012","24",10980.0
"D","04/01/2012","01",10670.0
"D","04/01/2012","02",10764.0
"D","04/01/2012","03",10399.0
"D","04/01/2012","04",10249.0
"D","04/01/2012","05",10243.0
"D","04/01/2012","06",10237.0
"D","04/01/2012","07",10529.0
"D","04/01/2012","08",10633.0
"D","04/01/2012","09",11482.0
"D","04/01/2012","10",12323.0
"D","04/01/2012","11",12520.0
"D","04/01/2012","12",12549.0
"D","04/01/2012","13",12306.0
"D","04/01/2012","14",12140.0
"D","04/01/2012","15",11692.0
"D","04/01/2012","16",11649.0
"D","04/01/2012","17",11783.0
"D","04/01/2012","18",11936.0
"D","04/01/2012","19",12482.0
"D","04/01/2012","20",13772.0
"D","04/01/2012","21",13511.0
"D","04/01/2012","22",12023.0
"D","04/01/2012","23",11052.0
"D","04/01/2012","24",10634.0
"D","04/02/2012","01",9800.0
"D","04/02/2012","02",9764.0
"D","04/02/2012","03",9663.0
"D","04/02/2012","04",9599.0
"D","04/02/2012","05",10023.0
"D","04/02/2012","06",10325.0
"D","04/02/2012","07",11822.0
"D","04/02/2012","08",12243.0
"D","04/02/2012","09",12515.0
"D","04/02/2012","10",12862.0
"D","04/02/2012","11",13014.0
"D","04/02/2012","12",12922.0
"D","04/02/2012","13",12801.0
"D","04/02/2012","14",12770.0
"D","04/02/2012","15",12647.0
"D","04/02/2012","16",12484.0
"D","04/02/2012","17",12532.0
"D","04/02/2012","18",12716.0
"D","04/02/2012","19",12992.0
"D","04/02/2012","20",13934.0
"D","04/02/2012","21",13386.0
"D","04/02/2012","22",12370.0
"D","04/02/2012","23",11377.0
"D","04/02/2012","24",10671.0
"D","04/03/2012","01",10712.0
"D","04/03/2012","02",10718.0
"D","04/03/2012","03",10525.0
"D","04/03/2012","04",10538.0
"D","04/03/2012","05",10846.0
"D","04/03/2012","06",11391.0
"D","04/03/2012","07",13052.0
"D","04/03/2012","08",13934.0
"D","04/03/2012","09",14010.0
"D","04/03/2012","10",14093.0
"D","04/03/2012","11",14080.0
"D","04/03/2012","12",14048.0
"D","04/03/2012","13",13911.0
"D","04/03/2012","14",13804.0
"D","04/03/2012","15",13542.0
"D","04/03/2012","16",13357.0
"D","04/03/2012","17",13621.0
"D","04/03/2012","18",13909.0
"D","04/03/2012","19",14170.0
"D","04/03/2012","20",14694.0
"D","04/03/2012","21",14521.0
"D","04/03/2012","22",13337.0
"D","04/03/2012","23",12080.0
"D","04/03/2012","24",10929.0
"D","04/04/2012","01",10445.0
"D","04/04/2012","02",10289.0
"D","04/04/2012","03",10319.0
"D","04/04/2012","04",10324.0
"D","04/04/2012","05",10323.0
"D","04/04/2012","06",10828.0
"D","04/04/2012","07",12384.0
"D","04/04/2012","08",12598.0
"D","04/04/2012","09",13011.0
"D","04/04/2012","10",13034.0
"D","04/04/2012","11",13086.0
"D","04/04/2012","12",13487.0
"D","04/04/2012","13",13414.0
"D","04/04/2012","14",13173.0
"D","04/04/2012","15",12924.0
"D","04/04/2012","16",12664.0
"D","04/04/2012","17",12708.0
"D","04/04/2012","18",12970.0
"D","04/04/2012","19",13291.0
"D","04/04/2012","20",14016.0
"D","04/04/2012","21",13885.0
"D","04/04/2012","22",12857.0
"D","04/04/2012","23",11548.0
"D","04/04/2012","24",10607.0
"D","04/05/2012","01",10798.0
"D","04/05/2012","02",10420.0
"D","04/05/2012","03",10199.0
"D","04/05/2012","04",10268.0
"D","04/05/2012","05",10524.0
"D","04/05/2012","06",11242.0
"D","04/05/2012","07",12895.0
"D","04/05/2012","08",13571.0
"D","04/05/2012","09",13937.0
"D","04/05/2012","10",14229.0
"D","04/05/2012","11",14377.0
"D","04/05/2012","12",14264.0
"D","04/05/2012","13",14148.0
"D","04/05/2012","14",13982.0
"D","04/05/2012","15",13697.0
"D","04/05/2012","16",13480.0
"D","04/05/2012","17",13616.0
"D","04/05/2012","18",13634.0
"D","04/05/2012","19",13941.0
"D","04/05/2012","20",14775.0
"D","04/05/2012","21",14469.0
"D","04/05/2012","22",13653.0
"D","04/05/2012","23",11848.0
"D","04/05/2012","24",10918.0
"D","04/06/2012","01",10156.0
"D","04/06/2012","02",9846.0
"D","04/06/2012","03",9654.0
"D","04/06/2012","04",9643.0
"D","04/06/2012","05",9940.0
