Date,Hour Ending,Day-Ahead Cleared Demand
04/15/2011,01,10551.0
04/15/2011,02,10339.0
04/15/2011,03,10209.0
04/15/2011,04,10200.0
04/15/2011,05,10391.0
04/15/2011,06,10951.0
04/15/2011,07,12716.0
04/15/2011,08,13749.0
04/15/2011,09,13838.0
04/15/2011,10,13842.0
04/15/2011,11,13914.0
04/15/2011,12,13653.0
04/15/2011,13,13522.0
04/15/2011,14,13449.0
04/15/2011,15,13310.0
04/15/2011,16,13147.0
04/15/2011,17,13129.0
04/15/2011,18,13166.0
04/15/2011,19,13438.0
04/15/2011,20,14012.0
04/15/2011,21,14000.0
04/15/2011,22,13305.0
04/15/2011,23,12223.0
04/15/2011,24,11038.0
04/16/2011,01,10703.0
04/16/2011,02,10507.0
04/16/2011,03,10389.0
04/16/2011,04,10263.0
04/16/2011,05,10373.0
04/16/2011,06,10654.0
04/16/2011,07,10363.0
04/16/2011,08,11736.0
04/16/2011,09,12925.0
04/16/2011,10,13456.0
04/16/2011,11,13579.0
04/16/2011,12,13587.0
04/16/2011,13,13247.0
04/16/2011,14,12847.0
04/16/2011,15,12531.0
04/16/2011,16,12486.0
04/16/2011,17,12456.0
04/16/2011,18,12558.0
04/16/2011,19,13007.0
04/16/2011,20,13427.0
04/16/2011,21,13185.0
04/16/2011,22,12485.0
04/16/2011,23,11523.0
04/16/2011,24,10396.0
04/17/2011,01,10101.0
04/17/2011,02,9636.0
04/17/2011,03,9532.0
04/17/2011,04,9357.0
04/17/2011,05,9282.0
04/17/2011,06,9534.0
04/17/2011,07,9349.0
04/17/2011,08,10640.0
04/17/2011,09,11466.0
04/17/2011,10,12434.0
04/17/2011,11,12735.0
04/17/2011,12,12688.0
04/17/2011,13,12365.0
04/17/2011,14,12152.0
04/17/2011,15,11846.0
04/17/2011,16,11689.0
04/17/2011,17,11866.0
04/17/2011,18,12096.0
04/17/2011,19,12546.0
04/17/2011,20,13299.0
04/17/2011,21,13434.0
04/17/2011,22,12405.0
04/17/2011,23,11193.0
04/17/2011,24,10168.0
04/18/2011,01,10082.0
04/18/2011,02,9692.0
04/18/2011,03,9445.0
04/18/2011,04,9322.0
04/18/2011,05,9622.0
04/18/2011,06,10447.0
04/18/2011,07,12533.0
04/18/2011,08,13659.0
04/18/2011,09,13835.0
04/18/2011,10,13909.0
04/18/2011,11,13960.0
04/18/2011,12,13864.0
04/18/2011,13,13771.0
04/18/2011,14,13679.0
04/18/2011,15,13560.0
04/18/2011,16,13620.0
04/18/2011,17,13638.0
04/18/2011,18,13664.0
04/18/2011,19,13660.0
04/18/2011,20,14192.0
04/18/2011,21,14132.0
04/18/2011,22,13145.0
04/18/2011,23,11829.0
04/18/2011,24,10662.0
04/19/2011,01,9915.0
04/19/2011,02,9469.0
04/19/2011,03,9275.0
04/19/2011,04,9388.0
04/19/2011,05,9490.0
04/19/2011,06,10349.0
04/19/2011,07,12238.0
04/19/2011,08,13826.0
04/19/2011,09,14051.0
04/19/2011,10,14245.0
04/19/2011,11,14378.0
04/19/2011,12,14374.0
04/19/2011,13,14181.0
04/19/2011,14,14214.0
04/19/2011,15,14092.0
04/19/2011,16,13965.0
04/19/2011,17,13947.0
04/19/2011,18,14090.0
04/19/2011,19,14041.0
04/19/2011,20,14873.0
04/19/2011,21,14819.0
04/19/2011,22,13396.0
04/19/2011,23,12012.0
04/19/2011,24,10701.0
04/20/2011,01,10015.0
04/20/2011,02,9575.0
04/20/2011,03,9368.0
04/20/2011,04,9349.0
04/20/2011,05,9535.0
04/20/2011,06,10393.0
04/20/2011,07,12395.0
04/20/2011,08,13581.0
04/20/2011,09,13878.0
04/20/2011,10,14316.0
04/20/2011,11,14406.0
04/20/2011,12,14562.0
04/20/2011,13,14421.0
04/20/2011,14,14303.0
04/20/2011,15,14141.0
04/20/2011,16,13913.0
04/20/2011,17,13895.0
04/20/2011,18,13995.0
04/20/2011,19,13878.0
04/20/2011,20,14549.0
04/20/2011,21,14326.0
04/20/2011,22,13146.0
04/20/2011,23,11915.0
04/20/2011,24,10657.0
04/21/2011,01,9861.0
04/21/2011,02,9485.0
04/21/2011,03,9410.0
04/21/2011,04,9376.0
04/21/2011,05,9377.0
04/21/2011,06,10352.0
04/21/2011,07,12114.0
04/21/2011,08,13737.0
04/21/2011,09,13974.0
04/21/2011,10,14068.0
04/21/2011,11,14157.0
04/21/2011,12,14216.0
04/21/2011,13,13947.0
04/21/2011,14,13719.0
04/21/2011,15,13264.0
04/21/2011,16,13260.0
04/21/2011,17,13229.0
04/21/2011,18,13531.0
04/21/2011,19,13425.0
04/21/2011,20,14211.0
04/21/2011,21,14415.0
04/21/2011,22,13457.0
04/21/2011,23,12180.0
04/21/2011,24,10844.0
04/22/2011,01,9870.0
04/22/2011,02,9358.0
04/22/2011,03,9191.0
04/22/2011,04,9201.0
04/22/2011,05,9365.0
04/22/2011,06,10030.0
04/22/2011,07,11358.0
04/22/2011,08,12843.0
04/22/2011,09,13085.0
04/22/2011,10,13314.0
04/22/2011,11,13452.0
04/22/2011,12,13450.0
04/22/2011,13,13064.0
04/22/2011,14,13042.0
04/22/2011,15,12828.0
04/22/2011,16,12676.0
04/22/2011,17,12553.0
04/22/2011,18,12591.0
04/22/2011,19,12736.0
04/22/2011,20,13244.0
04/22/2011,21,13271.0
04/22/2011,22,12610.0
04/22/2011,23,11653.0
04/22/2011,24,10477.0
04/23/2011,01,10037.0
04/23/2011,02,9723.0
04/23/2011,03,9365.0
04/23/2011,04,9307.0
04/23/2011,05,9396.0
04/23/2011,06,9627.0
04/23/2011,07,9900.0
04/23/2011,08,11035.0
04/23/2011,09,12234.0
04/23/2011,10,12889.0
04/23/2011,11,13012.0
04/23/2011,12,13072.0
04/23/2011,13,12817.0
04/23/2011,14,12675.0
04/23/2011,15,12576.0
04/23/2011,16,12501.0
04/23/2011,17,12613.0
04/23/2011,18,12657.0
04/23/2011,19,12588.0
04/23/2011,20,12891.0
04/23/2011,21,12899.0
04/23/2011,22,12374.0
04/23/2011,23,11417.0
04/23/2011,24,10353.0
04/24/2011,01,9988.0
04/24/2011,02,9788.0
04/24/2011,03,9529.0
04/24/2011,04,9507.0
04/24/2011,05,9481.0
04/24/2011,06,9505.0
04/24/2011,07,9559.0
04/24/2011,08,10486.0
04/24/2011,09,11363.0
04/24/2011,10,11988.0
04/24/2011,11,12216.0
04/24/2011,12,12251.0
04/24/2011,13,12286.0
04/24/2011,14,11973.0
